University,Program-Code,Program-Major-Name,Field-Type,First-Cap,Second-Cap,Female-Cap,Male-Cap,Description
مخصوص داوطلبان بومي استان كرمانشاه,2396,دبيري فيزيك,,18,-,ـــ,مرد,پرديس شهيد رجايي ـ كرمانشاه
مخصوص داوطلبان بومي استان كرمانشاه,2397,دبيري فيزيك,,10,-,زن,ـــ,پرديس شهيد صدوقي ـ كرمانشاه
مخصوص داوطلبان بومي استان كرمانشاه,2398,دبيري رياضي,,6,-,ـــ,مرد,پرديس شهيد مقصودي-همدان
مخصوص داوطلبان بومي استان كهگيلويه و بويراحمد,2399,دبيري رياضي,,7,-,ـــ,مرد,پرديس حضرت رسول اكرم)ص( ـ اهواز
مخصوص داوطلبان بومي استان كهگيلويه و بويراحمد,2400,دبيري فيزيك,,11,-,ـــ,مرد,پرديس شهيد ايزدپناه ـ ياسوج
مخصوص داوطلبان بومي استان كهگيلويه و بويراحمد,2401,دبيري فيزيك,,2,-,زن,ـــ,پرديس شهيد باهنر ـ شيراز
مخصوص داوطلبان بومي استان كهگيلويه و بويراحمد,2402,دبيري رياضي,,2,-,زن,ـــ,پرديس شهيد باهنر ـ كرمان
مخصوص داوطلبان بومي استان گلستان,2403,دبيري فيزيك,,7,-,ـــ,مرد,پرديس آيتاله خامنهاي ـ گرگان
مخصوص داوطلبان بومي استان گلستان,2404,دبيري رياضي,,5,-,ـــ,مرد,پرديس امام علي)ع( ـ رشت
مخصوص داوطلبان بومي استان گيلان,2405,دبيري رياضي,,17,-,ـــ,مرد,پرديس امام علي)ع( ـ رشت
مخصوص داوطلبان بومي استان گيلان,2406,دبيري رياضي,,17,-,ـــ,مرد,پرديس امام علي)ع( ـ رشت
مخصوص داوطلبان بومي استان گيلان,2407,دبيري رياضي,,9,-,زن,ـــ,پرديس بنت الهدي صدر- رشت
مخصوص داوطلبان بومي استان گيلان,2408,دبيري فيزيك,,7,-,زن,ـــ,پرديس بنت الهدي صدر- رشت
مخصوص داوطلبان بومي استان گيلان,2409,دبيري فيزيك,,20,-,ـــ,مرد,پرديس علامه طباطبايي ـ اردبيل
مخصوص داوطلبان بومي استان لرستان,2410,دبيري رياضي,,7,-,ـــ,مرد,پرديس شهيد باهنر ـ اصفهان
مخصوص داوطلبان بومي استان لرستان,2411,دبيري فيزيك,,4,-,زن,ـــ,پرديس شهيد صدوقي ـ كرمانشاه
مخصوص داوطلبان بومي استان لرستان,2412,دبيري فيزيك,,11,-,ـــ,مرد,پرديس شهيد مقصودي-همدان
مخصوص داوطلبان بومي استان مازندران,2413,دبيري فيزيك,,10,-,ـــ,مرد,پرديس آيت اله خامنهاي ـ گرگان
مخصوص داوطلبان بومي استان مازندران,2414,دبيري رياضي,,10,-,زن,ـــ,پرديس بنت الهدي صدر- رشت
مخصوص داوطلبان بومي استان مازندران,2415,دبيري فيزيك,,13,-,زن,ـــ,پرديس بنت الهدي صدر- رشت
مخصوص داوطلبان بومي استان مازندران,2416,دبيري رياضي,,30,-,ـــ,مرد,پرديس دكتر شريعتي ـ ساري
مخصوص داوطلبان بومي استان مازندران,2417,دبيري فيزيك,,30,-,ـــ,مرد,پرديس دكتر شريعتي ـ ساري
مخصوص داوطلبان بومي استان مركزي,2418,دبيري فيزيك,,4,-,ـــ,مرد,پرديس شهيد رجايي ـ كرمانشاه
مخصوص داوطلبان بومي استان مركزي,2419,دبيري فيزيك,,3,-,زن,ـــ,پرديس شهيد صدوقي ـ كرمانشاه
مخصوص داوطلبان بومي استان مركزي,2420,دبيري رياضي,,7,-,ـــ,مرد,پرديس شهيد مقصودي-همدان
مخصوص داوطلبان بومي استان هرمزگان,2421,دبيري فيزيك,,2,-,زن,ـــ,پرديس شهيد باهنر ـ شيراز
مخصوص داوطلبان بومي استان هرمزگان,2422,دبيري رياضي,,1,-,زن,ـــ,پرديس شهيد باهنر ـ كرمان
مخصوص داوطلبان بومي استان هرمزگان,2423,دبيري فيزيك,,7,-,ـــ,مرد,پرديس شهيد پاك نژاد-يزد
مخصوص داوطلبان بومي استان هرمزگان,2424,دبيري رياضي,,2,-,ـــ,مرد,پرديس شهيد رجايي ـ شيراز
مخصوص داوطلبان بومي استان همدان,2425,دبيري رياضي,,2,-,زن,ـــ,پرديس الزهرا)س( ـ زنجان
مخصوص داوطلبان بومي استان همدان,2426,دبيري رياضي,,11,-,ـــ,مرد,پرديس شهيد مقصودي-همدان
مخصوص داوطلبان بومي استان همدان,2427,دبيري فيزيك,,15,-,ـــ,مرد,پرديس شهيد مقصودي-همدان
مخصوص داوطلبان بومي استان يزد,2428,دبيري رياضي,,8,-,ـــ,مرد,پرديس خواجه نصيرالدين طوسي ـ كرمان
مخصوص داوطلبان بومي استان يزد,2429,دبيري فيزيك,,12,-,ـــ,مرد,پرديس شهيد پاك نژاد-يزد
مخصوص داوطلبان بومي استان يزد,2430,دبيري فيزيك,,3,-,زن,ـــ,پرديس شهيد هاشمينژاد ـ مشهد
مخصوص داوطلبان بومي استان يزد,2431,دبيري رياضي,,4,-,زن,ـــ,پرديس فاطمه الزهرا)س( ـ يزد
